;doc_title;alignment;entry_type_num;reg_sent;sim_sent;ter;reg_label_count;sim_label_count;reg_labels;sim_labels;pov_change;verb_tense_change;passive_active_sub;reg_prox_used;sim_prox_used;simple_synonym;word2phrase;phrase2word;phrase2phrase;source_used;target_used;deleting_info;removal;summarization;percent_deleted_unused;token_length_ratio;is_adding;examples;explanations;percent_added_unused;pron_explicitation;number_moved_words_ooo;num_svo_ooo;sentence_split;nbchars_ratio;reg_nbchars;sim_nbchars;levsim;wordrank_ratio;reg_wordrank;sim_wordrank;deptree_depth_ratio;deptree_type;reg_depth;sim_depth
0;350_691837;(('350_691837-1-0-0',), ('350_691837-0-0-0', '350_691837-0-0-1'));2;The Gandalf Awards, honoring achievement in fantasy literature, were conferred by the World Science Fiction Society annually from 1974 to 1981.;The Gandalf Awards honor excellent writing in in fantasy literature. The World Science Fiction Society gave the awards each year from 1974 to 1981.;0.5;{'C': 16, 'D': 6, 'R': 2};{'C': 18, 'A': 8};['C', 'C', 'C', 'D', 'R', 'R', 'C', 'C', 'C', 'D', 'D', 'D', 'D', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'A', 'C', 'A', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'C'];0;1;1;[2, 4, 10];[3];2;0;0;0;[4, 11];[];1;0;0;0.20833333333333334;0.9230769230769231;0;0;0;0.19230769230769232;0.0;[The];0.0;1;0.9919354838709677;123;124;61.0;0.919145610211005;-13.029429674125;-11.975943088525;1.7142857142857142;3;[6];[4, 3]
1;350_691837;(('350_691837-1-0-1',), ('350_691837-0-0-2',));1;They were named for Gandalf the wizard, from the Middle-earth stories by J. R. R. Tolkien.;They were named for Gandalf the wizard from the Middle-earth stories by J. R. R. Tolkien.;0.05;{'C': 19, 'D': 1};{'C': 19};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];1;0;0;0;[11];[];0;0;0;0.0;1.0526315789473684;0;0;0;0.0;0.0;[the, R.];0.0;0;1.0135135135135136;75;74;1.0;1.0134691998776177;-11.857205390899999;-12.016912460299999;0.8571428571428571;1;[6];[7]
2;350_691837;(('350_691837-1-0-2',), ('350_691837-0-0-3',));1;The award was created and sponsored by Lin Carter and the Swordsmen and Sorcerers' Guild of America (SAGA), an association of fantasy writers.;The award was started and sponsored by Lin Carter and the Swordsmen and Sorcerers' Guild of America (SAGA).;0.25;{'C': 21, 'R': 1, 'D': 6};{'C': 22};['C', 'C', 'C', 'R', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];4;0;0;0;[1, 3, 5, 23];[];1;0;0;0.21428571428571427;1.2727272727272727;0;0;1;0.0;0.0;[and, The, and];0.0;0;1.3333333333333333;120;90;39.0;1.0214551194007633;-12.062901735275;-12.321712732325;1.1666666666666667;1;[7];[6]
3;350_691837;(('350_691837-1-0-3',), ('350_691837-0-0-4', '350_691837-0-0-5'));2;Recipients were selected by vote of participants in the World Science Fiction Conventions according to procedures of the older Hugo Awards.;People at the World Science Fiction Conventions voted to choose the winners. They used the same rules as the older Hugo Awards.;0.6818181818181818;{'R': 2, 'D': 10, 'M': 5, 'C': 5};{'C': 12, 'A': 12};['R', 'D', 'D', 'D', 'R', 'D', 'D', 'D', 'M', 'M', 'M', 'M', 'M', 'D', 'D', 'D', 'D', 'C', 'C', 'C', 'C', 'C'];['C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'C'];-1;0;1;[0, 1];[];6;0;1;2;[0, 1, 2, 3, 4, 6, 13, 15];[];1;0;0;0.45454545454545453;0.9166666666666666;1;0;0;0.4583333333333333;1.0;[the];0.0;1;1.1226415094339623;119;106;85.0;0.8555452141936488;-12.412219524375;-10.6192150116;2.0;3;[8];[5, 3]
4;350_691837;(('350_691837-1-1-0',), ('350_691837-0-1-0',));1;The awards were presented in two categories, for life achievement and for a book published during the preceding year.;The awards were given in two categories: one, for life achievement, and two, for a book published the year before.;0.4285714285714285;{'C': 17, 'R': 1, 'D': 3};{'C': 18, 'A': 7};['C', 'C', 'C', 'R', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'D', 'C', 'D', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C'];0;0;0;[];[];6;0;0;0;[1, 3, 6, 10, 14, 15];[];0;0;0;0.0;0.84;1;0;0;0.24;0.0;[for, The];0.0;0;1.0421052631578946;99;95;37.0;0.6816211583127418;-11.1120386124;-7.5742006302;1.4;1;[7];[5]
5;350_691837;(('350_691837-1-1-1',), ());5;Their primary purpose continues to be fulfilled by two of the once-rival World Fantasy Awards, first presented in 1975—specifically the World Fantasy Award for Life Achievement and World Fantasy Award for Best Novel.;"
";1.0;{'D': 37};{};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];[];1;0;1;[5];[];0;0;0;0;[];[];0;1;0;0.0;0.0;0;0;0;0.0;0.0;[];0.0;0;;184;0;;0.0;-11.7024116516;0.0;0.0;0;[7];[]
6;350_691837;(('350_691837-1-2-0',), ('350_691837-0-2-0',));1;The Gandalf Grand Master Award for life achievement in fantasy writing was awarded every year from 1974 to 1981.;The Gandalf Grand Master Award for life achievement in fantasy writing was awarded every year from 1974 to 1981.;0.0;{'C': 20};{'C': 20};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];1;2;0;0;[7, 13, 14];[];0;0;0;0.0;1.0;0;0;0;0.0;0.0;[];0.0;0;1.0;94;94;0.0;1.0;-11.882468461999999;-11.882468461999999;1.0;1;[4];[4]
7;350_691837;(('350_691837-1-2-1',), ('350_691837-0-2-1',));1;The inaugural winner was J. R. R. Tolkien, recently deceased (1973).;The first winner was J. R. R. Tolkien who had died recently in 1973.;0.4666666666666667;{'C': 9, 'R': 2, 'D': 3, 'M': 1};{'C': 12, 'A': 3};['C', 'R', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'M', 'R', 'D', 'C', 'D', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'C'];0;0;0;[];[];3;0;0;0;[1, 2, 10];[];0;0;0;0.13333333333333333;1.0;0;0;0;0.13333333333333333;0.0;[R.];0.0;0;1.0545454545454545;58;55;29.0;0.9828028414435709;-12.68762779235;-12.4694366455;0.75;1;[3];[4]
8;350_691837;(('350_691837-1-3-0',), ('350_691837-0-3-0',));1;The next four Grand Masters were all members of the SAGA: Fritz Leiber, L. Sprague de Camp, Andre Norton, and Poul Anderson.;The next four Grand Masters were all members of the SAGA: Fritz Leiber, L. Sprague de Camp, Andre Norton, and Poul Anderson.;0.0;{'C': 27};{'C': 27};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];1;0;0;0;[7];[];0;0;0;0.0;1.0;0;0;0;0.0;;[The, ,, ,];0.0;0;1.0;103;103;0.0;1.0;-12.810713291199999;-12.810713291199999;1.0;1;[4, 4];[4, 4]
9;350_691837;(('350_691837-1-3-1',), ('350_691837-0-3-1',));1;The last three were Ursula K. Le Guin, Ray Bradbury, and C. L. Moore.;The last three were Ursula K. Le Guin, Ray Bradbury, and C. L. Moore.;0.0;{'C': 17};{'C': 17};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];0;0;0;0;[];[];0;0;0;0.0;1.0;0;0;0;0.0;0.0;[,];0.0;0;1.0;56;56;0.0;1.0;-12.793551445;-12.793551445;1.0;1;[4];[4]
